,loss,accuracy,val_loss,val_accuracy,sparsity,j,i
6,0.1351664662361145,0.9797499775886536,0.20068912208080292,0.9610999822616577,0.5,1,0
29,0.1342945694923401,0.9803666472434998,0.22094076871871948,0.9541000127792358,0.6339556724267468,1,0
40,0.13522778451442719,0.9799833297729492,0.19234652817249298,0.9648000001907349,0.7382719759579264,1,0
74,0.1352435201406479,0.9797833561897278,0.1844288855791092,0.9661999940872192,0.816671675432006,1,0
93,0.13563258945941925,0.979283332824707,0.2414439171552658,0.9488999843597412,0.8728437265214125,1,0
110,0.13691143691539764,0.979116678237915,0.19647571444511414,0.9617999792098999,0.910495867768595,1,0
139,0.13016097247600555,0.9796500205993652,0.21719887852668762,0.9560999870300293,0.933335837716003,1,0
157,0.12231890112161636,0.9811833500862122,0.20007532835006714,0.9621000289916992,0.9450638617580767,1,0
175,0.11587946116924286,0.982366681098938,0.1973257064819336,0.9592999815940857,0.9493801652892562,1,0
9,0.13583697378635406,0.9799833297729492,0.2024177461862564,0.9639000296592712,0.5,2,0
25,0.13399718701839447,0.9798499941825867,0.1974712461233139,0.9635000228881836,0.6339556724267468,2,0
59,0.13093402981758118,0.9807999730110168,0.19064894318580627,0.963699996471405,0.7382719759579264,2,0
69,0.13367782533168793,0.9795833230018616,0.2052355259656906,0.958299994468689,0.816671675432006,2,0
82,0.13590754568576813,0.9789666533470154,0.20802047848701477,0.9575999975204468,0.8728437265214125,2,0
117,0.1309889853000641,0.9794166684150696,0.22114406526088715,0.9559000134468079,0.910495867768595,2,0
133,0.13141997158527374,0.9793333411216736,0.1891946643590927,0.9617999792098999,0.933335837716003,2,0
148,0.12389304488897324,0.9806333184242249,0.2209993451833725,0.9531999826431274,0.9450638617580767,2,0
181,0.11793016642332077,0.9816666841506958,0.2197633534669876,0.9553999900817871,0.9493801652892562,2,0
2,0.13429035246372223,0.9801499843597412,0.2067267894744873,0.9624999761581421,0.5,3,0
17,0.13622057437896729,0.9801499843597412,0.21175000071525574,0.9606000185012817,0.5,3,0
